title,salary,city,job,publish_date,requirements,responsibilities,url,source
Директор по информационной безопасности,,Алматы,«Финансовый Холдинг «Республика»,,,анализа угроз и рисков информационной безопасности; Разработка и внедрение политики информационной ... к информационным ресурсам; Проведение аудитов информационной безопасности; Обучение сотрудников ...,https://qyzmet.kz/redir?id=20642603,hh_parser_qyzmet_Информационная безопасность.csv
Инженер информационной безопасности (Information Security Engineer),,Алматы,Noventiq,,,Обязанности: Анализ текущей инфраструктуры информационной безопасности клиента. Участие в discovery ... безопасности. Опыт в области информационной безопасности или системной интеграции. Желателен опыт ...,https://qyzmet.kz/redir?id=20636920,hh_parser_qyzmet_Информационная безопасность.csv
Специалист по информационной безопасности,От 380 000 ₸,Тараз,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Жамбыл-Жылу"" управления энергетики и жилищно-коммунального хозяйства акимата Жамбылской области""",,,"Профессиональные навыки: Анализ и проверка безопасности архитектуры Web-сервера; Настройка политики безопасности ОС, СУБД, ППО; Настройка системы защиты от утечек конфиденциальной информации ...",https://qyzmet.kz/jobdesc?id=20643966&src=js,hh_parser_qyzmet_Информационная безопасность.csv
Инженер информационной безопасности (SecOps),,"Астана, Бауыржана Момышулы",IT Холдинг Kazdream,,,"Задачи: Мониторинг и обеспечение безопасности сетевой инфраструктуры организации. Управление сетевыми средствами безопасности: фаерволы, IDS/IPS, фильтрация трафика и политики безопасности. Настройка ...",https://qyzmet.kz/redir?id=20634075,hh_parser_qyzmet_Информационная безопасность.csv
Junior Information Security Specialist,200 000 - 300 000 KZT,Астана,Центр цифрового развития Национального Банка Казахстана,,,: Участвовать в мониторинге событий информационной безопасности и реагировании на инциденты; Помогать в ... цифровой трансформации финансового сектора. Мы ищем начинающего специалиста по информационной ...,https://qyzmet.kz/redir?id=20642587,hh_parser_qyzmet_Информационная безопасность.csv
Эксперт ИБ (SOC),,Алматы,Нурбанк,,,области ИБ или ИТ; опыт работы от 3 лет в сфере информационной безопасности; опыт анализа и расследования инцидентов информационной безопасности; опыт координации работы аналитиков SOC (L1/L2 ...,https://qyzmet.kz/redir?id=20649855,hh_parser_qyzmet_Информационная безопасность.csv
"Руководитель направления непрерывности деятельности, рисков ИТ и ИБ",,Алматы,Bereke Bank,,,"информационной безопасности; Организует работу в Управлении по идентификации, анализу, оценке, мониторингу и контролю рисков информационных технологий и рисков информационной безопасности (в том числе на ...",https://qyzmet.kz/redir?id=20645455,hh_parser_qyzmet_Информационная безопасность.csv
Менеджер по управлению операционными IT и ИБ рисками и непрерывности деятельности,,Алматы,Дочерний Банк Казахстан-Зираат Интернешнл Банк,,,"Обязанности: разработка, внедрение и поддержание в актуальном состоянии внутренних нормативных документов по управлению рисками информационных технологий, информационной безопасности, по ...",https://qyzmet.kz/redir?id=20636390,hh_parser_qyzmet_Информационная безопасность.csv
ИТ аудитор,,Алматы,"Страховая компания Халык, ДО Народного Банка Казахстана",,,"информационных технологий и информационной безопасности. - Сбор, систематизация и документирование ... и информационной безопасности. - Анализ материалов проверок контрольных и надзорных органов, внешних ...",https://qyzmet.kz/redir?id=20648601,hh_parser_qyzmet_Информационная безопасность.csv
Системный администратор,200 000 - 300 000 KZT,Караганда,КФ АО Национальный центр экспертизы и сертификации,,,"копирование, архивирование и резервирование данных обеспечивать информационную и ІТ-безопасность и.т.д. Требования: знание основ информационной безопасности, способов защиты информации от ...",https://qyzmet.kz/redir?id=20636279,hh_parser_qyzmet_Информационная безопасность.csv
